Red,Green,Blue,Rupiah
83,250,250,5000
83,255,255,5000
58,166,166,5000
66,166,166,5000
62,200,200,5000
90,250,250,5000
62,166,166,5000
66,166,200,5000
66,200,200,5000
55,142,142,5000
100,255,255,5000
76,200,200,5000
55,166,166,5000
90,255,255,5000
71,200,200,5000
76,250,250,5000
62,200,200,10000
43,125,125,10000
66,200,200,10000
45,142,125,10000
50,166,166,10000
55,200,200,10000
66,250,250,10000
83,255,255,10000
71,250,250,10000
52,200,200,10000
71,200,200,10000
76,200,200,10000
47,142,142,10000
45,142,142,10000
50,142,142,10000
55,166,166,10000
55,166,166,20000
55,200,200,20000
47,166,166,20000
50,200,200,20000
58,200,200,20000
83,255,255,20000
62,250,250,20000
100,255,255,20000
76,255,255,20000
58,166,166,20000
71,250,250,20000
66,250,250,20000
52,200,200,20000
58,250,250,20000
76,250,250,20000
62,200,200,20000
